 INFO  Accepting connections at http://localhost:3000
 HTTP  2025/12/1 銝?9:35:29 ::1 GET /leave-application
 HTTP  2025/12/1 銝?9:35:29 ::1 Returned 200 in 1 ms
 HTTP  2025/12/1 銝?9:35:29 ::1 GET /static/js/main.f9daecb2.js
 HTTP  2025/12/1 銝?9:35:29 ::1 GET /static/css/main.6337f997.css
 HTTP  2025/12/1 銝?9:35:29 ::1 Returned 304 in 1 ms
 HTTP  2025/12/1 銝?9:35:29 ::1 Returned 304 in 1 ms
 HTTP  2025/12/1 銝?9:35:29 ::1 GET /favicon.ico
 HTTP  2025/12/1 銝?9:35:29 ::1 Returned 304 in 2 ms
 HTTP  2025/12/1 銝?9:35:47 ::1 GET /login
 HTTP  2025/12/1 銝?9:35:47 ::1 Returned 200 in 3 ms
 HTTP  2025/12/1 銝?9:35:47 ::1 GET /static/js/main.f9daecb2.js
 HTTP  2025/12/1 銝?9:35:47 ::1 GET /static/css/main.6337f997.css
 HTTP  2025/12/1 銝?9:35:47 ::1 Returned 200 in 5 ms
 HTTP  2025/12/1 銝?9:35:47 ::1 Returned 200 in 5 ms
 HTTP  2025/12/1 銝?9:35:48 ::1 GET /favicon.ico
 HTTP  2025/12/1 銝?9:35:48 ::1 Returned 200 in 3 ms
 HTTP  2025/12/1 銝?9:35:49 ::1 GET /leave-application
 HTTP  2025/12/1 銝?9:35:49 ::1 Returned 200 in 2 ms
 HTTP  2025/12/1 銝?9:35:49 ::1 GET /static/js/main.f9daecb2.js
 HTTP  2025/12/1 銝?9:35:49 ::1 GET /static/css/main.6337f997.css
 HTTP  2025/12/1 銝?9:35:49 ::1 Returned 304 in 2 ms
 HTTP  2025/12/1 銝?9:35:49 ::1 Returned 304 in 2 ms
 HTTP  2025/12/1 銝?9:35:49 ::1 GET /favicon.ico
 HTTP  2025/12/1 銝?9:35:49 ::1 Returned 304 in 2 ms
 HTTP  2025/12/1 銝?9:35:49 ::1 GET /favicon.ico
 HTTP  2025/12/1 銝?9:35:49 ::1 Returned 304 in 2 ms
 HTTP  2025/12/1 銝?9:36:07 ::1 GET /login
 HTTP  2025/12/1 銝?9:36:07 ::1 Returned 200 in 1 ms
 HTTP  2025/12/1 銝?9:36:07 ::1 GET /static/js/main.f9daecb2.js
 HTTP  2025/12/1 銝?9:36:07 ::1 GET /static/css/main.6337f997.css
 HTTP  2025/12/1 銝?9:36:07 ::1 Returned 200 in 3 ms
 HTTP  2025/12/1 銝?9:36:07 ::1 Returned 200 in 2 ms
 HTTP  2025/12/1 銝?9:36:08 ::1 GET /favicon.ico
 HTTP  2025/12/1 銝?9:36:08 ::1 Returned 200 in 2 ms
 HTTP  2025/12/1 銝?9:36:09 ::1 GET /leave-approval
 HTTP  2025/12/1 銝?9:36:09 ::1 Returned 200 in 1 ms
 HTTP  2025/12/1 銝?9:36:09 ::1 GET /static/js/main.f9daecb2.js
 HTTP  2025/12/1 銝?9:36:09 ::1 GET /static/css/main.6337f997.css
 HTTP  2025/12/1 銝?9:36:09 ::1 Returned 304 in 1 ms
 HTTP  2025/12/1 銝?9:36:09 ::1 Returned 304 in 2 ms
 HTTP  2025/12/1 銝?9:36:09 ::1 GET /favicon.ico
 HTTP  2025/12/1 銝?9:36:09 ::1 Returned 304 in 1 ms
 HTTP  2025/12/1 銝?9:36:09 ::1 GET /favicon.ico
 HTTP  2025/12/1 銝?9:36:09 ::1 Returned 304 in 2 ms
 HTTP  2025/12/1 銝?9:45:25 127.0.0.1 GET /
 HTTP  2025/12/1 銝?9:45:25 127.0.0.1 Returned 200 in 2 ms
 HTTP  2025/12/1 銝?9:45:36 ::1 GET /login
 HTTP  2025/12/1 銝?9:45:36 ::1 Returned 200 in 2 ms
 HTTP  2025/12/1 銝?9:45:36 ::1 GET /static/js/main.f9daecb2.js
 HTTP  2025/12/1 銝?9:45:36 ::1 GET /static/css/main.6337f997.css
 HTTP  2025/12/1 銝?9:45:36 ::1 Returned 200 in 3 ms
 HTTP  2025/12/1 銝?9:45:36 ::1 Returned 200 in 12 ms
 HTTP  2025/12/1 銝?9:45:36 ::1 GET /favicon.ico
 HTTP  2025/12/1 銝?9:45:36 ::1 Returned 200 in 2 ms
 HTTP  2025/12/1 銝?9:45:40 ::1 GET /leave-application
 HTTP  2025/12/1 銝?9:45:40 ::1 Returned 200 in 2 ms
 HTTP  2025/12/1 銝?9:45:40 ::1 GET /static/js/main.f9daecb2.js
 HTTP  2025/12/1 銝?9:45:40 ::1 GET /static/css/main.6337f997.css
 HTTP  2025/12/1 銝?9:45:40 ::1 Returned 304 in 2 ms
 HTTP  2025/12/1 銝?9:45:40 ::1 Returned 304 in 1 ms
 HTTP  2025/12/1 銝?9:45:40 ::1 GET /favicon.ico
 HTTP  2025/12/1 銝?9:45:40 ::1 Returned 304 in 1 ms
 HTTP  2025/12/1 銝?9:45:59 ::1 GET /login
 HTTP  2025/12/1 銝?9:45:59 ::1 Returned 200 in 3 ms
 HTTP  2025/12/1 銝?9:45:59 ::1 GET /static/js/main.f9daecb2.js
 HTTP  2025/12/1 銝?9:45:59 ::1 Returned 200 in 3 ms
 HTTP  2025/12/1 銝?9:45:59 ::1 GET /static/css/main.6337f997.css
 HTTP  2025/12/1 銝?9:45:59 ::1 Returned 200 in 2 ms
 HTTP  2025/12/1 銝?9:45:59 ::1 GET /favicon.ico
 HTTP  2025/12/1 銝?9:45:59 ::1 Returned 200 in 2 ms
 HTTP  2025/12/1 銝?9:46:01 ::1 GET /leave-application
 HTTP  2025/12/1 銝?9:46:01 ::1 Returned 200 in 1 ms
 HTTP  2025/12/1 銝?9:46:01 ::1 GET /static/js/main.f9daecb2.js
 HTTP  2025/12/1 銝?9:46:01 ::1 GET /static/css/main.6337f997.css
 HTTP  2025/12/1 銝?9:46:01 ::1 Returned 304 in 3 ms
 HTTP  2025/12/1 銝?9:46:01 ::1 Returned 304 in 1 ms
 HTTP  2025/12/1 銝?9:46:01 ::1 GET /favicon.ico
 HTTP  2025/12/1 銝?9:46:01 ::1 Returned 304 in 1 ms
 HTTP  2025/12/1 銝?9:46:01 ::1 GET /favicon.ico
 HTTP  2025/12/1 銝?9:46:01 ::1 Returned 304 in 1 ms
 HTTP  2025/12/1 銝?9:46:19 ::1 GET /login
 HTTP  2025/12/1 銝?9:46:19 ::1 Returned 200 in 2 ms
 HTTP  2025/12/1 銝?9:46:19 ::1 GET /static/js/main.f9daecb2.js
 HTTP  2025/12/1 銝?9:46:19 ::1 Returned 200 in 2 ms
 HTTP  2025/12/1 銝?9:46:19 ::1 GET /static/css/main.6337f997.css
 HTTP  2025/12/1 銝?9:46:19 ::1 Returned 200 in 1 ms
 HTTP  2025/12/1 銝?9:46:20 ::1 GET /favicon.ico
 HTTP  2025/12/1 銝?9:46:20 ::1 Returned 200 in 1 ms
 HTTP  2025/12/1 銝?9:46:20 ::1 GET /leave-approval
 HTTP  2025/12/1 銝?9:46:20 ::1 Returned 200 in 2 ms
 HTTP  2025/12/1 銝?9:46:20 ::1 GET /static/js/main.f9daecb2.js
 HTTP  2025/12/1 銝?9:46:20 ::1 Returned 304 in 1 ms
